refl_b01,refl_b02,refl_b03,refl_b04,refl_b05,refl_b07,proj_x,proj_y,day,SiO3
7307,4191,7179,7808,8596,4352,655316.4743,3169638.04,218,3.9339
6977,7092,6456,6732,6632,4263,745209.1898,3405417.957,86,0.981
3719,4197,4460,4646,6180,3812,634452.3503,3176485.716,285,3.29
5094,5256,4669,4925,5111,4042,594309.4734,3377306.381,86,2.374
3087,3154,3424,3858,5025,2614,673075.8424,3236376.035,238,1.34
4901,4234,4911,5367,4778,2483,701234.5705,3393963.738,217,2.107
4684,4841,4189,4453,4535,3844,589927.3812,3362766.673,86,2.267
4017,4448,3310,3839,4513,4147,637486.4286,3041933.072,215,0.364
3182,3547,3219,3468,4506,3338,668124.346,3272408.794,149,0.545
4338,4446,3962,4166,4124,3695,599914.5933,3369118.335,86,2.66
3541,3508,3590,3951,3874,2354,668124.346,3272408.794,232,1.33
1108,3002,985,1290,3511,1422,604102.1683,3096345.316,283,1.874
3133,3219,3056,3276,3384,2376,610574.3847,3116842.414,218,1.482
3528,3849,3579,3812,3359,1365,662778.0726,3214978.728,226,0.062
3776,3750,3427,3641,3340,2977,649913.7516,3396454.274,139,2.044
2505,3514,1643,2020,3297,3171,612954.1788,3083135.5,204,0.723
3501,3911,3391,3599,3282,2783,560812.2239,3074326.724,284,4.042
2769,3334,2383,2663,3254,2247,674781.9797,3243721.131,218,0.777
4387,4307,3877,4078,3234,2963,694640.1601,3227895.54,296,1.484
4716,4724,4852,4753,3209,2741,657968.2739,3150670.02,125,1.322
2054,2317,2544,2536,3122,1866,673430.2695,3269106.894,189,1.57
2925,3064,2505,3032,3108,2837,616929.2599,3043593.033,215,0.543
2609,2647,3363,3201,3007,2397,663374.6203,3269666.313,264,1.25
3296,3334,3186,3290,2948,2654,654216.0245,3229241.81,75,0.992
1826,1759,1685,1923,2867,2343,648944.2369,3260928.196,203,1.93
3338,3290,2959,3153,2826,2547,672666.3438,3387844.288,139,1.792
4621,4656,3996,4268,2767,1809,667997.2447,3271830.237,232,1.347
3244,3225,2895,3073,2682,2307,653626.211,3376709.928,139,1.904
1310,2976,1186,1449,2667,978,604968.4339,3039239.99,216,0.425
2459,3025,2433,2562,2655,1841,650014.4339,3211933.353,223,1.218
1022,2408,1079,1167,2609,905,615664.9856,3137796.494,73,1.6009
3018,3536,2736,2903,2608,1150,659611.8986,3215632.881,226,0.044
1878,1219,1922,2031,2542,1469,685044.3039,3316184.464,250,1.78
3250,3618,2707,2994,2520,1959,670765.7849,3270851.643,216,1.46
3333,3218,2887,3095,2516,2276,663108.4829,3372023.964,139,1.831
2005,2432,1633,2030,2511,2628,614287.8357,3083779.837,204,0.753
2018,2345,2081,2182,2506,1532,650014.4339,3211933.353,283,1.715
822,3083,721,1012,2499,836,667864.7833,3228935.065,240,1.67
843,2013,763,957,2497,690,674781.9797,3243721.131,240,2.271
2245,2038,2414,2562,2458,1958,616040.5049,3084882.797,188,0.377
3128,3008,2806,2949,2444,2273,644484.7449,3387419.124,139,2.478
1182,1677,1420,1486,2421,888,612410.1986,3105475.959,128,0.934
3098,3121,3385,3533,2398,2381,791558.0435,3368365.005,305,0.286
1614,2094,1469,1609,2389,1465,673075.8424,3236376.035,62,1.029
1445,2002,1052,1365,2376,705,702665.9821,3319199.518,125,1.517
1608,1914,1558,1815,2371,2048,612954.1788,3083135.5,188,0.666
2231,2140,2018,2362,2298,1951,612944.2249,3083146.491,229,0.757
2931,3044,2779,2960,2297,1838,614287.8357,3083779.837,188,0.519
1091,2414,1000,1214,2281,961,746053.0935,3397446.981,293,1.715
724,1835,418,701,2281,664,618790.0819,3135178.155,217,1.935
